Products — Final Business Master,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Final values only • Filterable catalogue • Profit, margin and markup are formula-driven",,,,,,,,,,,,,
,,,,,,,,,,,,,
SKU,Product Name,Category,Sales Type,Unit of Measure,Pack Quantity,Currency,Wholesale Price,Buying Price,Profit,Profit Margin %,Markup %,Active,Source Key
RS-001459,BIRTHDAY CANDLE PATA,BIRTHDAY,Wholesale,Piece,,PKR,35,30,5,0.14285714285714285,0.16666666666666666,True,WS-RATES:41:20
RS-001460,BIRTHDAY CANDLE,BIRTHDAY,Wholesale,Piece,,PKR,270,260,10,0.037037037037037035,0.038461538461538464,True,WS-RATES:41:21
RS-001461,TAPE DISPENSER OWNER (LARGE),CHINA,Wholesale,Piece,,PKR,280,260,20,0.07142857142857142,0.07692307692307693,True,WS-RATES:41:22
RS-001462,SUBJECT REGISTER NO 5,RING REGISTERS,Wholesale,Piece,,PKR,300,270,30,0.1,0.1111111111111111,True,WS-RATES:41:23
RS-001463,CAKE TOPPER SMALL,BIRTHDAY,Wholesale,Piece,,PKR,70,60,10,0.14285714285714285,0.16666666666666666,True,WS-RATES:41:24
RS-001464,SUBJECT REGISTER NO 6,RING REGISTERS,Wholesale,Piece,,PKR,350,320,30,0.08571428571428572,0.09375,True,WS-RATES:41:25
RS-001465,PARTY POPPER MEDIUM,BIRTHDAY,Wholesale,Piece,,PKR,95,75,20,0.21052631578947367,0.26666666666666666,True,WS-RATES:41:26
RS-001466,PARTY POPPER SMALL,BIRTHDAY,Wholesale,Piece,,PKR,70,55,15,0.21428571428571427,0.2727272727272727,True,WS-RATES:41:27
RS-001467,SUBJECT REGISTER NO 7,RING REGISTERS,Wholesale,Piece,,PKR,420,390,30,0.07142857142857142,0.07692307692307693,True,WS-RATES:41:28
RS-001468,TAPE DISPENSER OWNER (SMALL),CHINA,Wholesale,Piece,,PKR,110,92,18,0.16363636363636364,0.1956521739130435,True,WS-RATES:41:29
RS-001469,CUTE COLOURING BOOK SMALL,CHINA,Wholesale,Piece,,PKR,480,440,40,0.08333333333333333,0.09090909090909091,True,WS-RATES:41:30
RS-001470,SUBJECT REGISTER NO 8,RING REGISTERS,Wholesale,Piece,,PKR,460,430,30,0.06521739130434782,0.06976744186046512,True,WS-RATES:41:31
RS-001471,3 IN 1 QAIDA SMALL,QAIDA,Wholesale,Piece,,PKR,58,45,13,0.22413793103448276,0.28888888888888886,True,WS-RATES:41:32
RS-001472,AMOS CRAFT GLUE,GUM STICK,Wholesale,Piece,,PKR,72,63,9,0.125,0.14285714285714285,True,WS-RATES:41:33
RS-001473,RING DAIRY A7 24PCS,FANCY DIARIES,Wholesale,Pack,24,PKR,2400,2030,370,0.15416666666666667,0.18226600985221675,True,WS-RATES:41:34
RS-001474,WOODEN BAT (XXL),BAT,Wholesale,Piece,,PKR,1450,1150,300,0.20689655172413793,0.2608695652173913,True,WS-RATES:41:35
RS-001475,A5 NOTEBOOK FANCY DAIRY,FANCY DIARIES,Wholesale,Piece,,PKR,320,270,50,0.15625,0.18518518518518517,True,WS-RATES:41:36
RS-001476,WOODEN BAT (L),BAT,Wholesale,Piece,,PKR,1050,900,150,0.14285714285714285,0.16666666666666666,True,WS-RATES:41:37
RS-001477,COLOUR SMOKE,CHINA,Wholesale,Piece,,PKR,190,145,45,0.23684210526315788,0.3103448275862069,True,WS-RATES:42:2
RS-001478,MASK BLACK 50PCS,CHINA,Wholesale,Pack,50,PKR,140,115,25,0.17857142857142858,0.21739130434782608,True,WS-RATES:42:3
RS-001479,WOODEN BAT (ML),BAT,Wholesale,Piece,,PKR,700,680,20,0.02857142857142857,0.029411764705882353,True,WS-RATES:42:4
RS-001480,MASK BLUE 50PCS,CHINA,Wholesale,Pack,50,PKR,130,110,20,0.15384615384615385,0.18181818181818182,True,WS-RATES:42:5
RS-001481,WOODEN BAT COLOUR(M),BAT,Wholesale,Piece,,PKR,500,450,50,0.1,0.1111111111111111,True,WS-RATES:42:6
RS-001482,BULBULA PEN 1PC,BALL POINT,Individual,Piece,1,PKR,55,50,5,0.09090909090909091,0.1,True,WS-RATES:42:7
RS-001483,SNOW SPRAY SMALL 6 KG,BIRTHDAY,Wholesale,Piece,,PKR,90,82,8,0.08888888888888889,0.0975609756097561,True,WS-RATES:42:8
RS-001484,WOODEN BAT (SM),BAT,Wholesale,Piece,,PKR,450,350,100,0.2222222222222222,0.2857142857142857,True,WS-RATES:42:9
RS-001485,WOODEN BAT (S),BAT,Wholesale,Piece,,PKR,350,290,60,0.17142857142857143,0.20689655172413793,True,WS-RATES:42:10
RS-001486,....,CHINA,Wholesale,Piece,,PKR,65,62,3,0.046153846153846156,0.04838709677419355,True,WS-RATES:42:11
RS-001487,SNOW SPRAY LARGE,BIRTHDAY,Wholesale,Piece,,PKR,130,115,15,0.11538461538461539,0.13043478260869565,True,WS-RATES:42:12
RS-001488,UMRAH SAVING BOX,CHINA,Wholesale,Box,,PKR,240,230,10,0.041666666666666664,0.043478260869565216,True,WS-RATES:42:13
RS-001489,DANTEL POWDER,BAT,Wholesale,Piece,,PKR,360,320,40,0.1111111111111111,0.125,True,WS-RATES:42:14
RS-001490,PLASTIC WICKET SET,BAT,Wholesale,Set,,PKR,180,145,35,0.19444444444444445,0.2413793103448276,True,WS-RATES:42:15
RS-001491,CHINA MITTI FOAM,CLAY,Wholesale,Piece,,PKR,75,64,11,0.14666666666666667,0.171875,True,WS-RATES:42:16
RS-001492,CANVAS ROUND 8 INCH,CANVAS BOARD,Wholesale,Piece,,PKR,180,170,10,0.05555555555555555,0.058823529411764705,True,WS-RATES:42:17
